Date,Open,High,Low,Close,Adj Close,Volume
2021-10-05,73000.0,73000.0,71400.0,72200.0,70586.2265625,24013921
2021-10-06,72600.0,72800.0,71200.0,71300.0,69706.34375,18956962
2021-10-07,71600.0,72100.0,71300.0,71600.0,69999.640625,13683532
2021-10-08,72300.0,72400.0,71500.0,71500.0,69901.875,14043287
2021-10-12,70700.0,70900.0,68700.0,69000.0,67457.7578125,31001484
2021-10-13,68700.0,69600.0,68300.0,68800.0,67262.21875,24172015
2021-10-14,69000.0,69800.0,68800.0,69400.0,67848.8046875,19520641
2021-10-15,70200.0,71000.0,70000.0,70100.0,68533.1640625,18051612
2021-10-18,70200.0,70300.0,69200.0,70200.0,68630.9296875,13486391
2021-10-19,70800.0,71000.0,70400.0,70600.0,69021.9765625,9507991
2021-10-20,70700.0,71000.0,70200.0,70300.0,68728.6953125,10151638
2021-10-21,70300.0,70600.0,70000.0,70200.0,68630.9296875,10891094
2021-10-22,70000.0,70700.0,70000.0,70400.0,68826.453125,8395448
2021-10-25,69900.0,70600.0,69500.0,70200.0,68630.9296875,10029621
2021-10-26,70600.0,71500.0,70400.0,71100.0,69510.8046875,10528252
2021-10-27,71000.0,71000.0,70000.0,70100.0,68533.1640625,10295316
2021-10-28,69500.0,72200.0,69500.0,70700.0,69119.75,20644902
2021-10-29,71200.0,71600.0,69700.0,69800.0,68239.8671875,17016151
2021-11-01,70200.0,70600.0,69900.0,69900.0,68337.6328125,11503729
2021-11-02,70800.0,72200.0,70700.0,71500.0,69901.875,16812570
2021-11-03,71700.0,71700.0,70100.0,70400.0,68826.453125,12770428
2021-11-04,71200.0,71600.0,70500.0,70600.0,69021.9765625,11818987
2021-11-05,71600.0,71600.0,70200.0,70200.0,68630.9296875,12667743
2021-11-08,70400.0,70600.0,69800.0,70600.0,69021.9765625,11121981
2021-11-09,70300.0,71000.0,70100.0,70500.0,68924.2109375,11159589
2021-11-10,70300.0,70900.0,70200.0,70200.0,68630.9296875,9422009
2021-11-11,69900.0,70000.0,69600.0,69900.0,68337.6328125,11489122
2021-11-12,70200.0,70900.0,69900.0,70600.0,69021.9765625,10087450
2021-11-15,71700.0,71900.0,70900.0,71400.0,69804.1015625,12420710
2021-11-16,71500.0,72000.0,71300.0,71300.0,69706.34375,10919239
2021-11-17,71300.0,71600.0,70600.0,70700.0,69119.75,11027606
2021-11-18,70700.0,71000.0,70200.0,70200.0,68630.9296875,10144957
2021-11-19,70400.0,71400.0,70100.0,71200.0,69608.5703125,11954728
2021-11-22,73300.0,75200.0,73000.0,74900.0,73225.875,27506623
2021-11-23,76000.0,76000.0,74500.0,75300.0,73616.9375,22029195
2021-11-24,76000.0,76200.0,74100.0,74800.0,73128.109375,15652305
2021-11-25,75100.0,75100.0,73600.0,73700.0,72052.6953125,12559258
2021-11-26,73500.0,74100.0,72000.0,72300.0,70683.9921875,13002242
2021-11-29,71700.0,73000.0,71400.0,72300.0,70683.9921875,16682559
2021-11-30,73200.0,73900.0,70500.0,71300.0,69706.34375,30364841
2021-12-01,72000.0,74800.0,71600.0,74400.0,72737.046875,21954856
2021-12-02,73900.0,75800.0,73800.0,75800.0,74105.75,23652940
2021-12-03,75600.0,76000.0,74100.0,75600.0,73910.2265625,18330240
2021-12-06,75100.0,76700.0,74900.0,76300.0,74594.5859375,16391250
2021-12-07,76100.0,77700.0,75600.0,77400.0,75669.9921875,19232453
2021-12-08,78300.0,78600.0,77100.0,77400.0,75669.9921875,21558340
2021-12-09,77400.0,78200.0,77000.0,78200.0,76452.1171875,21604528
2021-12-10,77400.0,77600.0,76800.0,76900.0,75181.171875,9155219
2021-12-13,77200.0,78300.0,76500.0,76800.0,75083.3984375,15038750
2021-12-14,76500.0,77200.0,76200.0,77000.0,75278.9375,10976660
2021-12-15,76400.0,77600.0,76300.0,77600.0,75865.53125,9584939
2021-12-16,78500.0,78500.0,77400.0,77800.0,76061.0546875,11996128
2021-12-17,76800.0,78000.0,76800.0,78000.0,76256.578125,13108479
2021-12-20,77600.0,77800.0,76800.0,77100.0,75376.6953125,11264375
